School Name,Category,Street Address,City,State,ZIP Code,Students,Grant Category,Organization Name,Fiscal Year,Mapped Location
Robert Churchwell Museum Magnet Elementary School,MNPS,1625 Dr D.B. Todd Jr Blvd,Nashville,TN,37208,35,After-School Arts,Tennessee Performing Arts Center,FY17,"1625 Dr D.B. Todd Jr Blvd
Nashville, TN 37208
(36.175783, -86.809257)"
Eagle View Elementary School,ELC/Pre-K,1470 Eagle View Blvd,Antioch,TN,37013,20,Basic Operating,Belcourt Theatre,FY19,"1470 Eagle View Blvd
Antioch, TN 37013
(36.051419, -86.641919)"
Julia Green Elementary,MNPS,3500 Hobbs Rd,Nashville,TN,37215,1,Core Operating,Theater Bug,FY19,"3500 Hobbs Rd
Nashville, TN 37215
(36.102263, -86.832973)"
Alex Green Elementary School,MNPS,3921 Lloyd Road,Nashville,TN,37205,12,Basic Operating,Cheekwood Botanical Garden and Museum of Art,FY16,
Carter-Lawrence Elementary School,MNPS,1118 12th Avenue South,Nashville,TN,37203,65,Basic Operating,Nashville Children's Theatre,FY17,"1118 12th Avenue South
Nashville, TN 37203
(36.143513, -86.786798)"
Tennessee School for the Blind,Other,115 Stewarts Ferry Pike,Nashville,TN,37214,61,Basic Operating,Tennessee Performing Arts Center,FY16,"115 Stewarts Ferry Pike
Nashville, TN 37214
(36.166855, -86.655375)"
Cane Ridge High School,MNPS,12848 Old Hickory Boulevard,Antioch,TN,37013,28,Basic Operating,Tennessee Performing Arts Center,FY16,"12848 Old Hickory Boulevard
Antioch, TN 37013
(36.026553, -86.615508)"
H.G. Hill Middle Prep,MNPS,150 Davidson Road,Nashville,TN,37205,150,Basic Operating,Nashville Children's Theatre,FY16,"150 Davidson Road
Nashville, TN 37205
(36.115731, -86.865743)"
Harpeth Hall School,Private School,3801 Hobbs Road,Nashville,TN,37215-2216,1,Basic Operating,Cheekwood,FY19,"3801 Hobbs Road
Nashville, TN 37215-2216
(36.103441, -86.840497)"
Glendale Elementary School,MNPS,800 Thompson Avenue,Nashville,TN,37204,194,Basic Operating,Nashville Children's Theatre,FY17,"800 Thompson Avenue
Nashville, TN 37204
(36.09517, -86.784848)"
University School of Nashville,Private,2000 Edgehill Avenue,Nashville,TN,37212,4,Basic Operating,Nashville Jazz Workshop,FY17,"2000 Edgehill Avenue
Nashville, TN 37212
(36.143997, -86.798995)"
Warner Enhanced Option Elementary School,MNPS,626 Russell Street,Nashville,TN,37206,45,Arts Access,Nashville Ballet,FY17,"626 Russell Street
Nashville, TN 37206
(36.172254, -86.760445)"
Martin Luther King Jr. Magnet School,MNPS,613 17th Avenue North,Nashville,TN,37203,30,Basic Operating,Nashville Repertory Theatre,FY16,"613 17th Avenue North
Nashville, TN 37203
(36.162085, -86.800393)"
Ruby Major Elementary School,MNPS,5141 John Hagar Road,Hermitage,TN,37076,290,Basic Operating,Country Music Foundation,FY16,"5141 John Hagar Road
Hermitage, TN 37076
(36.15773, -86.57905)"
Norman Binkley Elementary School,MNPS,4700 West Longdale Drive,Nashville,TN,37211,24,Arts Access,Nashville Ballet,FY17,
Rose Park Magnet Math & Science Middle School,MNPS,1025 9th Ave South,Nashville,TN,37203,21,Basic Operating,W.O. Smith Music School,FY17,"1025 9th Ave South
Nashville, TN 37203
(36.142539, -86.780874)"
Smithson Craighead Academy,MNPS,730 Neelys Bend Road,Madison,TN,37115,191,Basic Operating,Nashville Ballet,FY17,"730 Neelys Bend Road
Madison, TN 37115
(36.252838, -86.695972)"
Berry Head Start,Pre-K/ELC,2233 Windord Avenue,Nashville,TN,37211,209,Basic Operating,Nashville Ballet,FY17,"2233 Windord Avenue
Nashville, TN 37211
(36.122799, -86.756224)"
St. Paul Christian Academy,Private,5035 Hillsboro Pike,Nashville,TN,37215,155,Basic Operating,Nashville Symphony,FY17,"5035 Hillsboro Pike
Nashville, TN 37215
(36.096962, -86.824113)"
DuPont Elementary School,MNPS,1311 9th Street,Old Hickory,TN,37138,2,Basic Operating,W.O. Smith Music School,FY17,"1311 9th Street
Old Hickory, TN 37138
(36.261909, -86.652615)"
Westmeade Elementary School,MNPS,6641 Clearbrook Dr.,Nashville,TN,37205,84,Basic Operating,Nashville Children's Theatre,FY19,"6641 Clearbrook Dr.
Nashville, TN 37205
(36.091787, -86.894436)"
F.H. Jenkins Preparatory School,Private,814 Youngs Lane,Nashville,TN,37207,101,Basic Operating,Nashville Children's Theatre,FY17,"814 Youngs Lane
Nashville, TN 37207
(36.204759, -86.799082)"
TSU Early Learning Center,Pre-K/ELC,3500 Dr D.B. Todd Jr. Blvd,Nashville,TN,37209,23,Arts Access,Nashville Ballet,FY17,
Harding Academy,Private,170 Windsor Drive,Nashville,TN,37205,550,Basic Operating,Nashville Ballet,FY17,"170 Windsor Drive
Nashville, TN 37205
(36.10207, -86.866583)"
Donelson Branch Library,Library,2315 Lebanon Pike,Nashville,TN,37214,10,Basic operating,Frist Art Museum,FY19,"2315 Lebanon Pike
Nashville, TN 37214
(36.168929, -86.683591)"
Cockrill Elementary,MNPS,4701 Indiana Avenue,Nashville,TN,37209,225,Basic Operating,Global Education Center,FY19,"4701 Indiana Avenue
Nashville, TN 37209
(36.156626, -86.84498)"
Rocketship Nashville Northeast Elementary School,MNPS,2526 Dickerson Pike,Nashville,TN,37207,5,Arts Access,"East Nashville Hope Exchange, Inc.",FY16,"2526 Dickerson Pike
Nashville, TN 37207
(36.213439, -86.764561)"
Homeschool,Home Schooled,,,TN,,7,Basic Operating,Nashville Repertory Theatre,FY17,"TN
(35.842998, -86.343226)"
Cockrill Elementary School,MNPS,4701 Indiana Avenue,Nashville,TN,37209,80,Basic Operating,Tennessee Performing Arts Center,FY17,"4701 Indiana Avenue
Nashville, TN 37209
(36.156626, -86.84498)"
Antioch High School,MNPS,1900 Hobson Pike,Antioch,TN,37013,4,Basic Operating,W.O. Smith Music School,FY16,"1900 Hobson Pike
Antioch, TN 37013
(36.047414, -86.60038)"
A.Z. Kelley Elementary School,MNPS,5834 Pettus Road,Antioch,TN,37013,3,Basic Operating,W.O. Smith Music School,FY16,"5834 Pettus Road
Antioch, TN 37013
(36.022988, -86.664651)"
Eagle View Elementary,MNPS,1470 Eagle View Road,Nashville,TN,37013,15,Basic Operating,"Moves & Grooves, Inc.",FY19,"1470 Eagle View Road
Nashville, TN 37013
(36.051419, -86.641919)"
Murrell School,MNPS,1450 14th Ave South,Nashville,TN,37212,11,Basic Operating,Southern Word,FY16,"1450 14th Ave South
Nashville, TN 37212
(36.138443, -86.790303)"
Lockeland Elementary Design Center,MNPS,105 South 17th St,Nashville,TN,37206,403,Basic Operating,Nashville Children's Theatre,FY19,"105 South 17th St
Nashville, TN 37206
(36.176312, -86.739761)"
Tom Joy Head Start,Pre-K/ELC,1901 Lischey Avenue,Nashville,TN,37207,199,Basic Operating,Tennessee Performing Arts Center,FY17,"1901 Lischey Avenue
Nashville, TN 37207
(36.203865, -86.761432)"
Robert E. Lillard Elementary School,MNPS,3200 Kings Lane,Nashville,TN,37218,38,After-School Arts,Tennessee Performing Arts Center,FY17,"3200 Kings Lane
Nashville, TN 37218
(36.219935, -86.826648)"
McGavock High School,MNPS,3150 McGavock Pike,Nashville,TN,37214-1698,3,Basic Operating,Cheekwood,FY19,"3150 McGavock Pike
Nashville, TN 37214-1698
(36.185147, -86.67648)"
Napier Enhanced Option Elementary School,MNPS,60 Fairfield Avenue,Nashville,TN,37210,3,Basic Operating,Global Education Center,FY17,"60 Fairfield Avenue
Nashville, TN 37210
(36.15001, -86.757067)"
Shwab Elementary,MNPS,1500 Dickerson Pike,Nashville,TN,37207-5054,63,Basic Operating,Cheekwood,FY19,"1500 Dickerson Pike
Nashville, TN 37207-5054
(36.199361, -86.770285)"
Waverly-Belmont,MNPS,2301 10th Ave S,Nashville,TN,37204,2,Youth Arts,"East Nashville Hope Exchange, Inc.",FY19,"2301 10th Ave S
Nashville, TN 37204
(36.126411, -86.786249)"
Thurgood Marshall Middle Prep,MNPS,5832 Pettus Road,Antioch,TN,37013,653,Basic Operating,Moves and Grooves Inc.,FY16,"5832 Pettus Road
Antioch, TN 37013
(36.022414, -86.664733)"
Nashville Classical Charter School,MNPS,1310 Ordway Pl,Nashville,TN,37206,4,Creation,Theater Bug,FY19,"1310 Ordway Pl
Nashville, TN 37206
(36.18026, -86.746013)"
J T Moore Middle School,MNPS,4425 Granny White Pike,Nashville,TN,37204-4117,1,Basic Operating,Cheekwood,FY19,"4425 Granny White Pike
Nashville, TN 37204-4117
(36.09542, -86.801241)"
Hull-Jackson Montessori Magnet School,MNPS,1015 Kellow Street,Nashville,TN,37208,69,After-School Arts,Tennessee Performing Arts Center,FY17,"1015 Kellow Street
Nashville, TN 37208
(36.190768, -86.807322)"
Dodson Elementary School,MNPS,4401 Chandler Road,Hermitage,TN,37076,280,Basic Operating,Nashville Children's Theatre,FY19,"4401 Chandler Road
Hermitage, TN 37076
(36.191257, -86.603868)"
Homeschool,Home Schooled,,,TN,,60,Basic Operating,Cheekwood,FY17,"TN
(35.842998, -86.343226)"
Gower Elementary School,MNPS,650 Old Hickory Blvd,Nashville,TN,37209,250,Basic Operating,Nashville Jazz Workshop,FY16,"650 Old Hickory Blvd
Nashville, TN 37209
(36.115285, -86.923093)"
Charlotte Park Elementary Pre-K,Pre-K/ELC,480 Annex Avenue,Nashville,TN,37209,1,Arts Access,Global Education Center,FY17,"480 Annex Avenue
Nashville, TN 37209
(36.15212, -86.88324)"
RePublic High School,MNPS,3307 Brick Church Pike,Nashville,TN,37207,3,Basic Operating,W.O. Smith Music School,FY16,"3307 Brick Church Pike
Nashville, TN 37207
(36.241905, -86.780543)"
St. Paul Christian Academy,Private,5035 Hillsboro Pike,Nashville,TN,37215,140,Basic Operating,Nashville Symphony,FY16,"5035 Hillsboro Pike
Nashville, TN 37215
(36.096962, -86.824113)"
McGavock Elementary School,MNPS,275 McGavock Pike,Nashville,TN,37214,100,Basic Operating,Nashville Children's Theatre,FY19,"275 McGavock Pike
Nashville, TN 37214
(36.160392, -86.681478)"
Harding Academy,Private,170 Windsor Drive,Nashville,TN,37205,17,Basic Operating,Frist Center for the Visual Arts,FY16,"170 Windsor Drive
Nashville, TN 37205
(36.10207, -86.866583)"
Explore! Community School,MNPS,217 South 10th Street,Nashville,TN,37206,180,Basic Operating,Tennessee Performing Arts Center,FY17,"217 South 10th Street
Nashville, TN 37206
(36.174536, -86.751919)"
Westmeade Elementary School,MNPS,6641 Clearbrook Drive,Nashville,TN,37205,56,After-School Arts,Tennessee Performing Arts Center,FY17,"6641 Clearbrook Drive
Nashville, TN 37205
(36.091787, -86.894436)"
Cockrill Elementary School,MNPS,4701 Indiana Avenue,Nashville,TN,37209,28,Basic Operating,Nashville Symphony,FY16,"4701 Indiana Avenue
Nashville, TN 37209
(36.156626, -86.84498)"
Abintra Montessori School,Private,914 Davidson Drive,Nashville,TN,37205,64,Basic Operating,Nashville Children's Theatre,FY16,"914 Davidson Drive
Nashville, TN 37205
(36.118209, -86.899237)"
Stratford STEM Magnet School Upper Campus,MNPS,1800 Stratford Avenue,Nashville,TN,37216,100,Arts Access,Belcourt Theatre,FY17,"1800 Stratford Avenue
Nashville, TN 37216
(36.198164, -86.717083)"
John Overton High School,MNPS,4820 Franklin Road,Nashville,TN,37220,1,Arts Access,Native American Indian Association,FY19,
Franklin Road Academy,Private,4700 Franklin Pike,Nashville,TN,37220,107,Basic Operating,Nashville Children's Theatre,FY16,"4700 Franklin Pike
Nashville, TN 37220
(36.083081, -86.772376)"
Glendale Elementary School,MNPS,800 Thompson Avenue,Nashville,TN,37204,2,Arts Access,Global Education Center,FY17,"800 Thompson Avenue
Nashville, TN 37204
(36.09517, -86.784848)"
Belle Meade Plantation,Nonprofit Facility (Non-Arts),5025 Harding Pike,Nashville,TN,37205,1,Basic Operating,Nashville Opera,FY19,"5025 Harding Pike
Nashville, TN 37205
(36.106953, -86.866945)"
Woodmont Christian Preschool,Pre-K/ELC,3601 Hillsboro Pike,Nashville,TN,37215,36,Basic Operating,Nashville Children's Theatre,FY16,"3601 Hillsboro Pike
Nashville, TN 37215
(36.111648, -86.811206)"
Davis Early Learning Center,Pre-K/ELC,1910 South Hamilton Road,Nashville,TN,37218,3,Arts Access,Global Education Center,FY17,"1910 South Hamilton Road
Nashville, TN 37218
(36.191753, -86.832991)"
Dan Mills,MNPS,4106 Kennedy Ave,Nashville,TN,37216,1,Youth Arts,"East Nashville Hope Exchange, Inc.",FY19,"4106 Kennedy Ave
Nashville, TN 37216
(36.218646, -86.717495)"
Nashville School of the Arts,MNPS,1250 Foster Ave,Nashville,TN,37210,3,Basic Operating,"Actors Bridge Ensemble Theater of Nashville, Inc.",FY19,"1250 Foster Ave
Nashville, TN 37210
(36.131492, -86.741669)"
"Buena Vista Elementary, Nashville Freedom Schools",MNPS,1531 9th Avenue North,Nashville,TN,37208,100,Basic Operating,ALIAS Chamber Ensemble,FY17,"1531 9th Avenue North
Nashville, TN 37208
(36.177928, -86.797921)"
Croft Design Center Middle Prep,MNPS,482 Elysian Fields Road,Nashville,TN,37211,312,Basic Operating,Moves and Grooves,FY17,"482 Elysian Fields Road
Nashville, TN 37211
(36.084443, -86.736871)"
Hull-Jackson Montessori Magnet School,MNPS,1015 Kellow Street,Nashville,TN,37208,4,Basic Operating,W.O. Smith Music School,FY16,"1015 Kellow Street
Nashville, TN 37208
(36.190768, -86.807322)"
Harding Academy,Private School,170 Windsor Drive,Nashville,TN,37205,48,Basic operating,Frist Art Museum,FY19,"170 Windsor Drive
Nashville, TN 37205
(36.10207, -86.866583)"
Head Magnet Middle School,MNPS,1830 Jo Johnston Ave,Nashville,TN,37203,66,Youth Arts,"Notes for Notes, Inc",FY19,"1830 Jo Johnston Ave
Nashville, TN 37203
(36.159251, -86.803381)"
Glengarry Elementary,Metro Nashville Public School,"200 Finley Dr., Nashville, TN",Nashville,TN,37217,925,Basic Operating,Nashville Ballet,FY19,"200 Finley Dr., Nashville, TN
Nashville, TN 37217
(36.110136, -86.7059)"
Glengarry Elementary School,MNPS,200 Finley Drive,Nashville,TN,37217,2,Arts Access,Global Education Center,FY17,"200 Finley Drive
Nashville, TN 37217
(36.110136, -86.7059)"
West End Middle Prep,MNPS,3529 West End Avenue,Nashville,TN,37205,125,Basic Operating,Tennessee Performing Arts Center,FY16,"3529 West End Avenue
Nashville, TN 37205
(36.134835, -86.824625)"
Creswell Middle Prep School of the Arts,MNPS,3500 John Mallette Drive,Nashville,TN,37218,38,Basic Operating,Nashville Children's Theatre,FY16,"3500 John Mallette Drive
Nashville, TN 37218
(36.195104, -86.838212)"
Overbrook School,Private,4210 Harding Pike,Nashville,TN,37205,46,Basic Operating,Nashville Children's Theatre,FY17,"4210 Harding Pike
Nashville, TN 37205
(36.129287, -86.840639)"
Frederick Douglass Head Start,Pre-K/ELC,621 Howerton Street,Nashville,TN,37206,160,Basic Operating,Tennessee Performing Arts Center,FY17,
Head Middle School,MNPS,1830 Jo Johnston Ave,Nashville,TN,37203,53,Core Operating,The Porch Writer's Collective,FY19,"1830 Jo Johnston Ave
Nashville, TN 37203
(36.159251, -86.803381)"
St. Joseph School,Private,1225 Gallatin Pike South,Madison,TN,37115,29,Basic Operating,Country Music Foundation,FY16,"1225 Gallatin Pike South
Madison, TN 37115
(36.245427, -86.721932)"
Stratton Elementary School,MNPS,310 West Old Hickory Blvd,Nashville,TN,37115,710,Basic Operating,Nashville Ballet,FY17,"310 West Old Hickory Blvd
Nashville, TN 37115
(36.263561, -86.716661)"
Whites Creek High School,MNPS,7277 Old Hickory Blvd,Whites Creek,TN,37189,50,Basic Operating,Nashville Ballet,FY17,"7277 Old Hickory Blvd
Whites Creek, TN 37189
(36.273182, -86.818339)"
Charlotte Park Elementary Pre-K,Pre-K/ELC,480 Annex Avenue,Nashville,TN,37209,3,Basic Operating,Global Education Center,FY17,"480 Annex Avenue
Nashville, TN 37209
(36.15212, -86.88324)"
Academy for G.O.D.,Private School,401 Center Street,Old Hickory,TN,37138-2417,28,Basic Operating,Cheekwood,FY19,"401 Center Street
Old Hickory, TN 37138-2417
(36.226605, -86.63292)"
Stratton Elementary School,MNPS,310 West Old Hickory Blvd,Madison,TN,37115,474,Basic Operating,Nashville Children's Theatre,FY16,"310 West Old Hickory Blvd
Madison, TN 37115
(36.263561, -86.716661)"
Lakeview Elementary Design Center,MNPS,455 Rural Hill Road,Nashville,TN,37217,630,Basic Operating,Nashville Ballet,FY16,"455 Rural Hill Road
Nashville, TN 37217
(36.078477, -86.629671)"
Old Center Elementary School,MNPS,1245 Dickerson Pike South,Goodlettsville,TN,37072,1,Basic Operating,W.O. Smith Music School,FY17,"1245 Dickerson Pike South
Goodlettsville, TN 37072
(36.290781, -86.737701)"
Ivanetta H. Davis Early Learning Center,Pre-K/ELC,1910 South Hamilton Road,Nashville,TN,37218,80,Basic Operating,Nashville Ballet,FY16,"1910 South Hamilton Road
Nashville, TN 37218
(36.191753, -86.832991)"
Homeschool,Home Schooled,,,TN,,4,Basic Operating,Music City Youth Orchestra,FY16,"TN
(35.842998, -86.343226)"
Nashville School of the Arts High School,MNPS,1250 Foster Avenue,Nashville,TN,37210,181,Basic Operating,Nashville Repertory Theatre,FY17,"1250 Foster Avenue
Nashville, TN 37210
(36.131492, -86.741669)"
Inglewood Elementary School,MNPS,1700 Riverside Drive,Nashville,TN,37216-4014,35,Basic Operating,Cheekwood,FY19,"1700 Riverside Drive
Nashville, TN 37216-4014
(36.197707, -86.72332)"
St. Edward School,Private,190 Thompson Lane,Nashville,TN,37211,25,Basic Operating,Tennessee Performing Arts Center,FY16,"190 Thompson Lane
Nashville, TN 37211
(36.11056, -86.740249)"
Dupont Hadley Middle School,MNPS,1901 Old Hickory Blvd,Old Hickory,TN,37138,1,Basic Operating,Nashville Jazz Workshop,FY19,"1901 Old Hickory Blvd
Old Hickory, TN 37138
(36.249028, -86.643271)"
Jack Arden Elementary,Other,Sumner County,,,,1,Core Operating,Theater Bug,FY19,
East Nashville Magnet Middle School,MNPS,2000 Greenwood Avenue,Nashville,TN,37206,88,Basic Operating,Southern Word,FY16,"2000 Greenwood Avenue
Nashville, TN 37206
(36.189048, -86.732515)"
Andrew Jackson Elementary School,MNPS,110 Shute Lane,Old Hickory,TN,37138,130,Basic Operating,Tennessee Performing Arts Center,FY17,"110 Shute Lane
Old Hickory, TN 37138
(36.232084, -86.622589)"
Jones Paideia Elementary Magnet School,MNPS,1800 9th Avenue North,Nashville,TN,37208,52,Basic Operating,Nashville Children's Theatre,FY16,"1800 9th Avenue North
Nashville, TN 37208
(36.181246, -86.801903)"
Creswell Middle Prep School of the Arts,MNPS,3500 John Mallette Drive,Nashville,TN,37218,200,Creation,OZ Arts,FY17,"3500 John Mallette Drive
Nashville, TN 37218
(36.195104, -86.838212)"
Julia Green Elementary School,MNPS,3500 Hobbs Road,Nashville,TN,37215,500,Basic Operating,Nashville Opera Association,FY16,"3500 Hobbs Road
Nashville, TN 37215
(36.102263, -86.832973)"
St. Clement Coptic Orthodox Christian Academy,Private,476 McMurray Drive,Nashville,TN,37211,25,Basic Operating,Tennessee Performing Arts Center,FY16,"476 McMurray Drive
Nashville, TN 37211
(36.059236, -86.722488)"
Paragon Mills Elementary,MNPS,260 Paragon Mills Road,Nashville,TN,37211,4,Basic Operating,Global Education Center,FY19,"260 Paragon Mills Road
Nashville, TN 37211
(36.087048, -86.707014)"
Madison Campus Elementary School,Private,1515 Sutherland Drive,Madison,TN,37115,23,Basic Operating,Cheekwood,FY17,"1515 Sutherland Drive
Madison, TN 37115
(36.250808, -86.678058)"
Wright Middle Prep,MNPS,180 McCall Street,Nashville,TN,37211,70,After-School Arts,Tennessee Performing Arts Center,FY17,"180 McCall Street
Nashville, TN 37211
(36.099132, -86.734386)"
Hillsboro High School,MNPS,400 Davidson Road,Nashville,TN,37205,23,Basic Operating,Nashville Ballet,FY16,"400 Davidson Road
Nashville, TN 37205
(36.117025, -86.873648)"
Children's House of Nashville,Private,3404 Belmont Blvd,Nashville,TN,37215,24,Basic Operating,Nashville Children's Theatre,FY16,"3404 Belmont Blvd
Nashville, TN 37215
(36.11497, -86.799406)"
Nashville Christian School,Private School,7555 Sawyer Brown Road,Nashville,TN,37221-1210,30,Basic Operating,Cheekwood,FY19,"7555 Sawyer Brown Road
Nashville, TN 37221-1210
(36.106683, -86.930689)"
McMurray Middle Prep,MNPS,520 McMurray Drive,Nashville,TN,37211,31,After-School Arts,Frist Center for the Visual Arts,FY16,"520 McMurray Drive
Nashville, TN 37211
(36.05738, -86.722669)"
La Petite Academy,Pre-K/ELC,100 Matterhorn Drive,Nashville,TN,37138,50,Arts Access,Nashville Ballet,FY17,"100 Matterhorn Drive
Nashville, TN 37138
(36.218252, -86.58382)"
Creswell Middle Prep School of the Arts,MNPS,3500 John Mallette Drive,Nashville,TN,37218,99,Basic Operating,Cheekwood,FY17,"3500 John Mallette Drive
Nashville, TN 37218
(36.195104, -86.838212)"
Middle College High School,MNPS,120 White Bridge Road,Nashville,TN,37209,35,Basic Operating,Tennessee Performing Arts Center,FY17,"120 White Bridge Road
Nashville, TN 37209
(36.134879, -86.858326)"
John Early Museum Magnet Middle Prep,MNPS,1000 Cass Street,Nashville,TN,37208,15,Basic Operating,Tennessee Women's Theater Project,FY17,"1000 Cass Street
Nashville, TN 37208
(36.186443, -86.804661)"
Beech High School,Other,3126 Long Hollow Pike,Hendersonville,TN,37075,1,Core Operating,Theater Bug,FY19,"3126 Long Hollow Pike
Hendersonville, TN 37075
(36.371026, -86.619331)"
Knowledge Academy,MNPS,5320 Hickory Hollow Parkway,Antioch,TN,37013,3,Basic Operating,W.O. Smith Music School,FY16,"5320 Hickory Hollow Parkway
Antioch, TN 37013
(36.046023, -86.65413)"
Park Avenue Enhanced Option Elementary,MNPS,3703 Park Avenue,Nashville,TN,37209,300,Basic Operating,Nashville Ballet,FY16,"3703 Park Avenue
Nashville, TN 37209
(36.151584, -86.829723)"
Stratford STEM Magnet School Lower Campus,MNPS,1800 Stratford Avenue,Nashville,TN,37216,18,Basic Operating,Nashville Children's Theatre,FY16,"1800 Stratford Avenue
Nashville, TN 37216
(36.198164, -86.717083)"
Haynes Middle School,MNPS,510 West Trinity Lane,Nashville,TN,37207,1,Basic Operating,W.O. Smith Music School,FY17,"510 West Trinity Lane
Nashville, TN 37207
(36.207377, -86.790851)"
Kirkpatrick Elementary Enhanced Option School,MNPS,1000 Sevier Street,Nashville,TN,37206,12,Arts Access,"East Nashville Hope Exchange, Inc.",FY16,"1000 Sevier Street
Nashville, TN 37206
(36.168341, -86.752899)"
Eakin Elementary School,MNPS,2500 Fairfax Avenue,Nashville,TN,37212,6,Basic Operating,Global Education Center,FY17,"2500 Fairfax Avenue
Nashville, TN 37212
(36.13475, -86.807413)"
The Covenant School,Private,33 Burton Hills Blvd,Nashville,TN,37215,60,Basic Operating,Nashville Symphony,FY17,"33 Burton Hills Blvd
Nashville, TN 37215
(36.09511, -86.824028)"
KIPP Kirkpatrick Elementary School,MNPS,1000 Sevier Street,Nashville,TN,37206,100,Basic Operating,Frist Center for the Visual Arts,FY17,"1000 Sevier Street
Nashville, TN 37206
(36.168341, -86.752899)"
Intrepid College Prep,MNPS,5432 Bell Forge Lane East,Antioch,TN,37013,50,Basic Operating,Tennessee Performing Arts Center,FY17,"5432 Bell Forge Lane East
Antioch, TN 37013
(36.050049, -86.64653)"
Tom Joy Elementary School,MNPS,2201 Jones Avenue,Nashville,TN,37207,132,Basic Operating,Nashville Children's Theatre,FY17,"2201 Jones Avenue
Nashville, TN 37207
(36.209078, -86.757096)"
Nashville Christian Advancement Academy,Private,3551 Dickerson Pike,Nashville,TN,37207,11,Basic Operating,Nashville Children's Theatre,FY17,"3551 Dickerson Pike
Nashville, TN 37207
(36.254558, -86.757805)"
Homeschool Group,Other,1225 Neelys Bend Road,Madison,TN,37115-5446,90,Basic Operating,Cheekwood,FY19,"1225 Neelys Bend Road
Madison, TN 37115-5446
(36.243249, -86.677025)"
Old Center Elementary School,MNPS,1245 Dickerson Pike South,Goodlettsville,TN,37072,67,Basic Operating,Nashville Children's Theatre,FY17,"1245 Dickerson Pike South
Goodlettsville, TN 37072
(36.290781, -86.737701)"
Glendale Elementary School,MNPS,800 Thompson Avenue,Nashville,TN,37204,400,Arts Access,Nashville Symphony,FY17,"800 Thompson Avenue
Nashville, TN 37204
(36.09517, -86.784848)"
Croft Middle School,MNPS,482 Elysian Fields Rd,Nashville,TN,37211,26,Basic Operating,Belcourt Theatre,FY19,"482 Elysian Fields Rd
Nashville, TN 37211
(36.084443, -86.736871)"
Dan Mills Elementary School,MNPS,4106 Kennedy Avenue,Nashville,TN,37216,1,Basic Operating,"Watkins College of Art, Design, and Film",FY17,"4106 Kennedy Avenue
Nashville, TN 37216
(36.218646, -86.717495)"
Tom Joy Headstart,Early Learning Center/Pre-K,1901 Lischey Ave,Nashville,TN,37207,85,Basic Operating,Nashville Ballet,FY19,"1901 Lischey Ave
Nashville, TN 37207
(36.203865, -86.761432)"
St. Paul Christian Academy,Private School,5035 Hillsboro Road,Nashville,TN,37215,53,Basic operating,Frist Art Museum,FY19,"5035 Hillsboro Road
Nashville, TN 37215
(36.096962, -86.824113)"
West End Middle Prep,MNPS,3529 West End Avenue,Nashville,TN,37205,1,Basic Operating,Nashville Jazz Workshop,FY16,"3529 West End Avenue
Nashville, TN 37205
(36.134835, -86.824625)"
Eakin Elementary School,MNPS,2500 Fairfax Avenue,Nashville,TN,37212,265,Basic Operating,Nashville Children's Theatre,FY17,"2500 Fairfax Avenue
Nashville, TN 37212
(36.13475, -86.807413)"
Homeschool,Home Schooled,,,TN,,25,Basic Operating,Tennessee Performing Arts Center,FY17,"TN
(35.842998, -86.343226)"
Joelton Elementary School,MNPS,7141 Whites Creek Pike,Joelton,TN,37080,86,Basic Operating,Country Music Foundation,FY16,"7141 Whites Creek Pike
Joelton, TN 37080
(36.316174, -86.865924)"
Smith Springs Elementary School,MNPS,3132 Smith Springs Rd,Antioch,TN,37013,160,Basic Operating,Nashville Children's Theatre,FY19,"3132 Smith Springs Rd
Antioch, TN 37013
(36.082957, -86.596744)"
Thurgood Marshall Middle Prep,MNPS,5832 Pettus Road,Antioch,TN,37013,49,After-School Arts,Nashville Children's Theatre,FY17,"5832 Pettus Road
Antioch, TN 37013
(36.022414, -86.664733)"
Inglewood Elementary School,MNPS,1700 Riverside Drive,Nashville,TN,37216,60,Arts Access,Nashville Ballet,FY17,"1700 Riverside Drive
Nashville, TN 37216
(36.197707, -86.72332)"
Lipscomb Academy,Private,3901 Granny White Pike,Nashville,TN,37204,30,Basic Operating,Tennessee Performing Arts Center,FY17,"3901 Granny White Pike
Nashville, TN 37204
(36.104122, -86.796661)"
Amqui Elementary School,MNPS,319 Anderson Lane,Madison,TN,37115,2,Arts Access,Global Education Center,FY17,"319 Anderson Lane
Madison, TN 37115
(36.273163, -86.703988)"
Harding Academy,Private,170 Windsor Drive,Nashville,TN,37205,221,Basic Operating,Nashville Children's Theatre,FY16,"170 Windsor Drive
Nashville, TN 37205
(36.10207, -86.866583)"
Stratford High School - Top Floor Program,MNPS,1800 Stratford Avenue,Nashville,TN,37216,10,Basic Operating,"Country Music Foundation, Inc. dba Country Music Hall of Fame and Museum",FY19,"1800 Stratford Avenue
Nashville, TN 37216
(36.198164, -86.717083)"
The Academy for GOD,Private,401 Center Street,Old Hickory,TN,37138,18,Basic Operating,Country Music Foundation,FY16,"401 Center Street
Old Hickory, TN 37138
(36.226605, -86.63292)"
Cockrill Elementary,MNPS,4701 Indiana Avenue,Nashville,TN,37209-2165,41,Basic Operating,Cheekwood,FY19,"4701 Indiana Avenue
Nashville, TN 37209-2165
(36.156626, -86.84498)"
